,Partij,Datum,Zetel_nr,Kleur,Zetel_aantal,Tekst
0,PVV,2024-02-26,1,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
1,PVV,2024-02-26,2,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
2,PVV,2024-02-26,3,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
3,PVV,2024-02-26,4,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
4,PVV,2024-02-26,5,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
5,PVV,2024-02-26,6,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
6,PVV,2024-02-26,7,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
7,PVV,2024-02-26,8,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
8,PVV,2024-02-26,9,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
9,PVV,2024-02-26,10,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
10,PVV,2024-02-26,11,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
11,PVV,2024-02-26,12,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
12,PVV,2024-02-26,13,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
13,PVV,2024-02-26,14,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
14,PVV,2024-02-26,15,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
15,PVV,2024-02-26,16,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
16,PVV,2024-02-26,17,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
17,PVV,2024-02-26,18,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
18,PVV,2024-02-26,19,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
19,PVV,2024-02-26,20,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
20,PVV,2024-02-26,21,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
21,PVV,2024-02-26,22,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
22,PVV,2024-02-26,23,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
23,PVV,2024-02-26,24,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
24,PVV,2024-02-26,25,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
25,PVV,2024-02-26,26,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
26,PVV,2024-02-26,27,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
27,PVV,2024-02-26,28,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
28,PVV,2024-02-26,29,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
29,PVV,2024-02-26,30,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
30,PVV,2024-02-26,31,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
31,PVV,2024-02-26,32,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
32,PVV,2024-02-26,33,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
33,PVV,2024-02-26,34,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
34,PVV,2024-02-26,35,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
35,PVV,2024-02-26,36,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
36,PVV,2024-02-26,37,#1c3456,49,PVV peilde op 2024-02-27 op 49 zetels.
